rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
89,100,400,8,8,,clustered,0.8;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
88,100,400,8,8,,clustered,0.8;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
87,100,400,8,8,,clustered,0.8;-0.3,4,5,4,0,0,18,14,14,14,10,0,edgeCount
86,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
85,100,400,8,8,,clustered,0.8;-0.3,20,42,5,15,0,-1,-6,-1,-1,-6,0,edgeCount
84,100,400,8,8,,clustered,0.8;-0.3,21,15,3,18,0,11,8,15,15,12,0,edgeCount
83,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
82,100,400,8,8,,clustered,0.8;-0.3,31,3,3,28,0,9,6,3,5,0,0,edgeCount
81,100,400,8,8,,clustered,0.8;-0.3,53,41,4,49,0,-1,-5,-1,-1,-5,0,edgeCount
80,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
79,100,400,8,8,,clustered,0.8;-0.3,28,14,4,24,0,-1,-5,-1,-1,-5,0,edgeCount
78,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
77,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
76,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
75,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
74,100,400,8,8,,clustered,0.8;-0.3,6,20,4,2,0,20,16,20,20,16,0,edgeCount
73,100,400,8,8,,clustered,0.8;-0.3,5,73,5,0,0,25,20,25,25,20,0,edgeCount
72,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
