rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
181,100,400,8,8,,clustered,0.7;-0.3,23,8,5,18,0,31,26,31,31,26,0,edgeCount
180,100,400,8,8,,clustered,0.7;-0.3,29,21,3,26,0,5,2,3,3,0,0,edgeCount
179,100,400,8,8,,clustered,0.7;-0.3,4,8,4,0,0,30,26,18,18,14,0,edgeCount
178,100,400,8,8,,clustered,0.7;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
177,100,400,8,8,,clustered,0.7;-0.3,55,17,3,52,0,7,4,9,9,6,0,edgeCount
176,100,400,8,8,,clustered,0.7;-0.3,15,5,3,12,0,3,0,3,3,0,0,edgeCount
175,100,400,8,8,,clustered,0.7;-0.3,24,16,4,20,0,-1,-5,-1,-1,-5,0,edgeCount
174,100,400,8,8,,clustered,0.7;-0.3,23,18,4,19,0,16,12,6,6,2,0,edgeCount
173,100,400,8,8,,clustered,0.7;-0.3,42,4,4,38,0,-1,-5,-1,-1,-5,0,edgeCount
172,100,400,8,8,,clustered,0.7;-0.3,4,29,4,0,0,26,22,10,10,6,0,edgeCount
171,100,400,8,8,,clustered,0.7;-0.3,24,10,3,21,0,-1,-4,-1,-1,-4,0,edgeCount
170,100,400,8,8,,clustered,0.7;-0.3,10,6,4,6,0,28,24,28,28,24,0,edgeCount
169,100,400,8,8,,clustered,0.7;-0.3,23,21,3,20,0,3,0,3,3,0,0,edgeCount
168,100,400,8,8,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
167,100,400,8,8,,clustered,0.7;-0.3,12,26,2,10,0,2,0,2,2,0,0,edgeCount
166,100,400,8,8,,clustered,0.7;-0.3,18,42,2,16,0,2,0,8,2,6,0,edgeCount
165,100,400,8,8,,clustered,0.7;-0.3,6,35,4,2,0,16,12,18,18,14,0,edgeCount
164,100,400,8,8,,clustered,0.7;-0.3,4,42,4,0,0,12,8,12,12,8,0,edgeCount
163,100,400,8,8,,clustered,0.7;-0.3,83,41,5,78,0,-1,-6,-1,-1,-6,0,edgeCount
162,100,400,8,8,,clustered,0.7;-0.3,25,17,4,21,0,8,4,8,16,4,0,edgeCount
161,100,400,8,8,,clustered,0.7;-0.3,25,67,4,21,0,18,14,30,30,26,0,edgeCount
160,100,400,8,8,,clustered,0.7;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
159,100,400,8,8,,clustered,0.7;-0.3,10,17,4,6,0,14,10,14,20,10,0,edgeCount
158,100,400,8,8,,clustered,0.7;-0.3,4,51,4,0,0,14,10,10,10,6,0,edgeCount
157,100,400,8,8,,clustered,0.7;-0.3,16,25,3,13,0,5,2,5,5,2,0,edgeCount
156,100,400,8,8,,clustered,0.7;-0.3,30,68,2,28,0,2,0,10,2,8,0,edgeCount
155,100,400,8,8,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
154,100,400,8,8,,clustered,0.7;-0.3,19,5,3,16,0,5,2,7,7,4,0,edgeCount
153,100,400,8,8,,clustered,0.7;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
