rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
110,25,25,2,2,,clustered,0.7;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
109,25,25,2,2,,clustered,0.7;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
108,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
107,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
106,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
105,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
104,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
103,25,25,2,2,,clustered,0.7;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
102,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
101,25,25,2,2,,clustered,0.7;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
100,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
99,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
98,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
97,25,25,2,2,,clustered,0.7;-0.3,31,31,17,14,0,31,14,31,31,14,0,edgeCount
96,25,25,2,2,,clustered,0.7;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
95,25,25,2,2,,clustered,0.7;-0.3,27,27,11,16,0,27,16,27,27,16,0,edgeCount
94,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
93,25,25,2,2,,clustered,0.7;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
92,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
91,25,25,2,2,,clustered,0.7;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
90,25,25,2,2,,clustered,0.7;-0.3,25,25,11,14,0,25,14,25,25,14,0,edgeCount
89,25,25,2,2,,clustered,0.7;-0.3,12,12,10,2,0,12,2,12,12,2,0,edgeCount
88,25,25,2,2,,clustered,0.7;-0.3,24,24,18,6,0,24,6,24,24,6,0,edgeCount
87,25,25,2,2,,clustered,0.7;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
86,25,25,2,2,,clustered,0.7;-0.3,24,24,18,6,0,24,6,24,24,6,0,edgeCount
85,25,25,2,2,,clustered,0.7;-0.3,31,31,15,16,0,31,16,31,31,16,0,edgeCount
84,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
83,25,25,2,2,,clustered,0.7;-0.3,30,30,16,14,0,30,14,30,30,14,0,edgeCount
82,25,25,2,2,,clustered,0.7;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
81,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
80,25,25,2,2,,clustered,0.7;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
79,25,25,2,2,,clustered,0.7;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
78,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
77,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
76,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
75,25,25,2,2,,clustered,0.7;-0.3,26,26,20,6,0,26,6,26,26,6,0,edgeCount
74,25,25,2,2,,clustered,0.7;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
73,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
72,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
71,25,25,2,2,,clustered,0.7;-0.3,2,2,2,0,0,2,0,2,2,0,0,edgeCount
70,25,25,2,2,,clustered,0.7;-0.3,2,2,2,0,0,2,0,2,2,0,0,edgeCount
69,25,25,2,2,,clustered,0.7;-0.3,27,27,21,6,0,27,6,27,27,6,0,edgeCount
68,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
67,25,25,2,2,,clustered,0.7;-0.3,24,24,22,2,0,24,2,24,24,2,0,edgeCount
66,25,25,2,2,,clustered,0.7;-0.3,27,27,21,6,0,27,6,27,27,6,0,edgeCount
65,25,25,2,2,,clustered,0.7;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
64,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
63,25,25,2,2,,clustered,0.7;-0.3,12,12,12,0,0,12,0,12,12,0,0,edgeCount
62,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
61,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
60,25,25,2,2,,clustered,0.7;-0.3,33,33,15,18,0,33,18,33,33,18,0,edgeCount
59,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
58,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
57,25,25,2,2,,clustered,0.7;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
56,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
55,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
54,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
53,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
52,25,25,2,2,,clustered,0.7;-0.3,19,19,11,8,0,19,8,19,19,8,0,edgeCount
51,25,25,2,2,,clustered,0.7;-0.3,33,33,13,20,0,33,20,33,33,20,0,edgeCount
50,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
49,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
48,25,25,2,2,,clustered,0.7;-0.3,24,24,22,2,0,24,2,24,24,2,0,edgeCount
47,25,25,2,2,,clustered,0.7;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
46,25,25,2,2,,clustered,0.7;-0.3,23,23,23,0,0,23,0,23,23,0,0,edgeCount
45,25,25,2,2,,clustered,0.7;-0.3,28,28,18,10,0,28,10,28,28,10,0,edgeCount
44,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
43,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
42,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
41,25,25,2,2,,clustered,0.7;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
40,25,25,2,2,,clustered,0.7;-0.3,29,29,17,12,0,29,12,29,29,12,0,edgeCount
39,25,25,2,2,,clustered,0.7;-0.3,20,20,10,10,0,20,10,20,20,10,0,edgeCount
38,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
37,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
36,25,25,2,2,,clustered,0.7;-0.3,12,12,12,0,0,12,0,12,12,0,0,edgeCount
35,25,25,2,2,,clustered,0.7;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
34,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
33,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
32,25,25,2,2,,clustered,0.7;-0.3,25,25,15,10,0,25,10,25,25,10,0,edgeCount
31,25,25,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
30,25,25,2,2,,clustered,0.7;-0.3,2,2,2,0,0,2,0,2,2,0,0,edgeCount
