rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
901,50,203,0.15,10,,clustered,0.6;-0.3,43,3,3,40,20,3,0,3,3,0,4,edgeCount
900,50,190,0.15,5,,clustered,0.6;-0.3,16,11,4,12,0,10,6,10,10,6,0,edgeCount
899,50,190,0.15,8,,clustered,0.6;-0.3,7,13,3,4,8,7,4,3,7,0,2,edgeCount
898,50,166,0.15,7,,clustered,0.6;-0.3,8,5,4,4,0,20,16,20,20,16,0,edgeCount
897,50,210,0.15,6,,clustered,0.6;-0.3,10,9,3,7,68,-1,-4,26,31,23,16,edgeCount
896,50,200,0.15,4,,clustered,0.6;-0.3,10,10,4,6,0,-1,-5,-1,-1,-5,0,edgeCount
895,50,169,0.15,5,,clustered,0.6;-0.3,16,3,3,13,8,5,2,3,5,0,2,edgeCount
894,50,168,0.15,8,,clustered,0.6;-0.3,7,7,3,4,12,-1,-4,19,9,16,4,edgeCount
893,50,192,0.15,5,,clustered,0.6;-0.3,4,3,2,2,28,7,5,5,7,3,8,edgeCount
892,50,172,0.15,6,,clustered,0.6;-0.3,40,10,2,38,0,2,0,2,2,0,0,edgeCount
891,50,169,0.15,5,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
890,50,176,0.15,10,,clustered,0.6;-0.3,24,2,2,22,8,2,0,6,2,4,2,edgeCount
889,50,179,0.15,4,,clustered,0.6;-0.3,3,5,3,0,0,3,0,3,3,0,0,edgeCount
888,50,161,0.15,6,,clustered,0.6;-0.3,17,14,3,14,0,7,4,7,7,4,0,edgeCount
887,50,181,0.15,4,,clustered,0.6;-0.3,15,7,3,12,0,7,4,3,3,0,0,edgeCount
886,50,177,0.15,5,,clustered,0.6;-0.3,48,31,3,45,0,11,8,7,7,4,0,edgeCount
885,50,194,0.15,6,,clustered,0.6;-0.3,39,2,2,37,0,2,0,4,2,2,0,edgeCount
884,50,211,0.15,8,,clustered,0.6;-0.3,7,7,2,5,0,8,6,7,8,5,0,edgeCount
883,50,175,0.15,7,,clustered,0.6;-0.3,7,6,3,4,0,14,11,14,9,11,0,edgeCount
882,50,168,0.15,7,,clustered,0.6;-0.3,3,10,2,1,0,2,0,2,2,0,0,edgeCount
881,50,197,0.15,6,,clustered,0.6;-0.3,13,3,3,10,20,3,0,3,3,0,6,edgeCount
880,50,166,0.15,6,,clustered,0.6;-0.3,3,2,2,1,0,6,4,9,6,7,0,edgeCount
879,50,197,0.15,7,,clustered,0.6;-0.3,59,38,3,56,44,-1,-4,27,23,24,12,edgeCount
878,50,189,0.15,5,,clustered,0.6;-0.3,11,23,2,9,0,2,0,8,2,6,0,edgeCount
