rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
906,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,12,-13,6,-1,-13,-1,-1,-13,6,edgeCount
905,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
904,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,29,47,7,22,2,-1,-8,33,33,26,2,edgeCount
903,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
902,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,42,14,6,36,0,6,0,6,6,0,0,edgeCount
901,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
900,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
899,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,36,22,12,24,0,-1,-13,-1,-1,-13,0,edgeCount
898,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
897,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
896,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,39,13,13,26,0,13,0,13,13,0,0,edgeCount
895,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,17,17,15,2,0,17,2,17,17,2,0,edgeCount
894,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,8,-9,0,-1,-9,-1,-1,-9,0,edgeCount
893,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
892,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
891,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,31,15,8,23,4,-1,-9,-1,-1,-9,4,edgeCount
890,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
889,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
888,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
887,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,12,44,9,3,2,28,19,28,28,19,2,edgeCount
886,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
885,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,-1,-1,9,-10,0,-1,-10,-1,-1,-10,0,edgeCount
884,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
883,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
882,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,2,edgeCount
881,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
880,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,18,16,4,14,4,4,0,4,4,0,2,edgeCount
879,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
878,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
877,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
876,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
875,113,161,graphml/Deltacom.graphml,4,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
874,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
873,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
872,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
871,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,44,16,11,33,0,-1,-12,-1,-1,-12,0,edgeCount
870,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,16,-17,4,-1,-17,-1,-1,-17,4,edgeCount
869,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,12,12,6,6,0,12,6,12,12,6,0,edgeCount
868,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
867,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
866,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
865,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,11,11,11,0,0,11,0,11,11,0,0,edgeCount
864,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,31,7,6,25,0,-1,-7,-1,-1,-7,0,edgeCount
863,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,13,-14,6,-1,-14,-1,-1,-14,6,edgeCount
862,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,25,25,12,13,2,-1,-13,25,25,13,2,edgeCount
861,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,11,-12,4,-1,-12,-1,-1,-12,2,edgeCount
860,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
