rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
796,25,37,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
795,25,53,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
794,25,48,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,4,edgeCount
793,25,53,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,6,edgeCount
792,25,53,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
791,25,43,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
790,25,53,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
789,25,56,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,2,edgeCount
788,25,46,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
787,25,47,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,10,-1,0,-1,-1,0,10,edgeCount
786,25,42,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
785,25,43,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,6,edgeCount
784,25,46,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
783,25,45,0.15,5,,clustered,0.9;-0.3,5,7,3,2,0,3,0,5,5,2,0,edgeCount
782,25,49,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,4,edgeCount
781,25,55,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,12,-1,0,-1,-1,0,6,edgeCount
780,25,34,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
779,25,39,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
778,25,46,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
777,25,50,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
776,25,46,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,2,edgeCount
775,25,49,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
774,25,40,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
