rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
934,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
933,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
932,110,148,graphml/Interoute.graphml,3,,clustered,0.8;-0.3,35,35,7,28,0,35,28,35,35,28,0,edgeCount
931,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,13,43,11,2,2,21,10,21,21,10,2,edgeCount
930,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
929,110,148,graphml/Interoute.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
928,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
927,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
926,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
925,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
924,110,148,graphml/Interoute.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
923,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
922,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
921,110,148,graphml/Interoute.graphml,1,,clustered,0.8;-0.3,-1,-1,8,-9,2,-1,-9,-1,-1,-9,2,edgeCount
920,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
919,110,148,graphml/Interoute.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
918,110,148,graphml/Interoute.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
917,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
916,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,18,-19,0,-1,-19,-1,-1,-19,0,edgeCount
915,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,15,9,5,10,0,5,0,5,5,0,0,edgeCount
914,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
913,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
912,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
911,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
910,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,27,27,12,15,0,27,15,27,27,15,0,edgeCount
909,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
