rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
925,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,4,4,4,0,2,4,0,4,4,0,2,edgeCount
924,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
923,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
922,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
921,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
920,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
919,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,9,9,9,0,2,9,0,9,9,0,2,edgeCount
918,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
917,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
916,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,11,11,9,2,0,11,2,11,11,2,0,edgeCount
915,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
914,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
913,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,24,24,12,12,2,24,12,24,24,12,2,edgeCount
912,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,15,57,12,3,0,31,19,31,31,19,0,edgeCount
911,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,28,18,17,11,4,-1,-18,28,24,11,4,edgeCount
910,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
909,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,11,37,11,0,4,-1,-12,11,37,0,4,edgeCount
908,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
907,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,3,3,3,0,2,3,0,3,3,0,2,edgeCount
906,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,6,32,6,0,4,6,0,6,32,0,4,edgeCount
