rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
970,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,12,16,9,3,0,26,17,26,26,17,0,edgeCount
969,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
968,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,9,9,5,4,0,-1,-6,9,9,4,0,edgeCount
967,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
966,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,11,11,11,0,0,11,0,11,11,0,0,edgeCount
965,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
964,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
963,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,12,-13,0,-1,-13,-1,-1,-13,0,edgeCount
962,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
961,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
960,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,10,46,10,0,6,-1,-11,10,46,0,6,edgeCount
959,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
958,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
957,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
956,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
955,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
954,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
953,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
952,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
951,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
950,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
949,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
948,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
947,93,103,graphml/Oteglobe.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
946,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
945,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
944,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
943,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
942,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
941,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
940,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
939,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
938,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
937,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
936,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
935,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
934,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
933,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
932,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
931,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
930,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
929,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,6,28,6,0,2,6,0,6,28,0,2,edgeCount
928,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
927,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
926,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
925,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
924,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
923,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
922,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
921,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
920,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
919,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,21,13,13,8,2,-1,-14,21,13,8,2,edgeCount
918,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,3,5,3,0,0,3,0,3,5,0,0,edgeCount
917,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
916,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
915,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
914,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
913,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,27,27,13,14,0,27,14,27,27,14,0,edgeCount
912,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
911,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
910,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
909,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
908,93,103,graphml/Oteglobe.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
907,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
906,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
905,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,16,-17,0,-1,-17,-1,-1,-17,0,edgeCount
904,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
903,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
902,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
901,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,7,-8,0,-1,-8,-1,-1,-8,0,edgeCount
900,93,103,graphml/Oteglobe.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
899,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
898,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
897,93,103,graphml/Oteglobe.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
896,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
895,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
894,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
893,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
892,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
891,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
890,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
889,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
888,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
887,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
886,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
885,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
884,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,25,17,15,10,2,-1,-16,27,21,12,2,edgeCount
883,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
882,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
881,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
880,93,103,graphml/Oteglobe.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
879,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
878,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,16,-17,0,-1,-17,-1,-1,-17,0,edgeCount
877,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
876,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
875,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,8,edgeCount
874,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
873,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
872,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
871,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
870,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
869,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
868,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
867,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
866,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
865,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
864,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
863,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,3,3,3,0,4,3,0,3,3,0,4,edgeCount
862,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
861,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
860,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
859,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
858,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
857,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
856,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
855,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
854,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
853,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
852,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
851,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
850,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,6,38,6,0,4,6,0,6,38,0,4,edgeCount
849,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
848,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,9,9,9,0,0,-1,-10,9,9,0,0,edgeCount
847,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
846,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
845,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
844,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
843,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
842,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
841,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
840,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
839,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
838,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
837,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
836,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
835,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,11,43,11,0,0,23,12,23,23,12,0,edgeCount
834,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,11,25,5,6,0,5,0,5,5,0,0,edgeCount
833,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
832,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
831,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
830,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
829,93,103,graphml/Oteglobe.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
828,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
827,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
826,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
825,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
824,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
823,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
822,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
821,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
820,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
819,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
818,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
817,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
816,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
815,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
814,93,103,graphml/Oteglobe.graphml,4,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
813,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
812,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
811,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
810,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
809,93,103,graphml/Oteglobe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
808,93,103,graphml/Oteglobe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
