rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
934,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,7,7,7,0,2,7,0,7,7,0,2,edgeCount
933,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,3,6,3,0,2,3,0,3,3,0,2,edgeCount
932,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,3,3,3,0,4,3,0,3,3,0,4,edgeCount
931,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,4,20,4,0,6,4,0,4,20,0,6,edgeCount
930,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,12,12,11,1,0,12,1,12,12,1,0,edgeCount
929,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,2,2,2,0,2,2,0,2,2,0,2,edgeCount
928,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
927,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,7,7,7,0,2,7,0,7,7,0,2,edgeCount
926,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,5,5,4,1,0,5,1,5,5,1,0,edgeCount
925,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,4,14,4,0,4,4,0,4,14,0,4,edgeCount
924,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,5,5,5,0,2,5,0,5,5,0,2,edgeCount
923,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,7,14,7,0,2,7,0,7,14,0,2,edgeCount
922,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
921,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,11,13,11,0,2,11,0,11,13,0,2,edgeCount
920,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,6,6,6,0,0,9,3,6,6,0,0,edgeCount
919,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
918,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
917,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
916,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
915,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
914,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,4,4,3,1,0,4,1,4,4,1,0,edgeCount
913,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,12,12,12,0,0,12,0,12,12,0,0,edgeCount
912,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,12,12,12,0,0,12,0,12,12,0,0,edgeCount
911,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,3,3,3,0,2,3,0,3,3,0,2,edgeCount
910,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
909,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,8,13,8,0,2,8,0,8,13,0,2,edgeCount
908,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
907,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
906,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,11,11,11,0,0,11,0,11,11,0,0,edgeCount
905,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,10,10,10,0,2,10,0,10,10,0,2,edgeCount
904,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,2,2,2,0,2,2,0,2,2,0,2,edgeCount
903,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
