rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
115,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
114,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
113,50,50,2,2,,clustered,0.7;-0.3,31,31,19,12,0,31,12,31,31,12,0,edgeCount
112,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
111,50,50,2,2,,clustered,0.7;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
110,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
109,50,50,2,2,,clustered,0.7;-0.3,59,59,37,22,0,59,22,59,59,22,0,edgeCount
108,50,50,2,2,,clustered,0.7;-0.3,38,38,34,4,0,38,4,38,38,4,0,edgeCount
107,50,50,2,2,,clustered,0.7;-0.3,12,12,6,6,0,12,6,12,12,6,0,edgeCount
106,50,50,2,2,,clustered,0.7;-0.3,49,49,47,2,0,49,2,49,49,2,0,edgeCount
105,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
104,50,50,2,2,,clustered,0.7;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
103,50,50,2,2,,clustered,0.7;-0.3,11,11,11,0,0,11,0,11,11,0,0,edgeCount
102,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
101,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
100,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
99,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
98,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
97,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
96,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
95,50,50,2,2,,clustered,0.7;-0.3,19,19,19,0,0,19,0,19,19,0,0,edgeCount
94,50,50,2,2,,clustered,0.7;-0.3,2,2,2,0,0,2,0,2,2,0,0,edgeCount
93,50,50,2,2,,clustered,0.7;-0.3,21,21,21,0,0,21,0,21,21,0,0,edgeCount
92,50,50,2,2,,clustered,0.7;-0.3,58,58,24,34,0,58,34,58,58,34,0,edgeCount
91,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
90,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
89,50,50,2,2,,clustered,0.7;-0.3,57,57,35,22,0,57,22,57,57,22,0,edgeCount
88,50,50,2,2,,clustered,0.7;-0.3,50,50,36,14,0,50,14,50,50,14,0,edgeCount
87,50,50,2,2,,clustered,0.7;-0.3,61,61,37,24,0,61,24,61,61,24,0,edgeCount
86,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
85,50,50,2,2,,clustered,0.7;-0.3,65,65,27,38,0,65,38,65,65,38,0,edgeCount
84,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
83,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
82,50,50,2,2,,clustered,0.7;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
81,50,50,2,2,,clustered,0.7;-0.3,39,39,25,14,0,39,14,39,39,14,0,edgeCount
80,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
79,50,50,2,2,,clustered,0.7;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
78,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
77,50,50,2,2,,clustered,0.7;-0.3,71,71,25,46,0,71,46,71,71,46,0,edgeCount
76,50,50,2,2,,clustered,0.7;-0.3,11,11,11,0,0,11,0,11,11,0,0,edgeCount
75,50,50,2,2,,clustered,0.7;-0.3,15,15,15,0,0,15,0,15,15,0,0,edgeCount
74,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
73,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
72,50,50,2,2,,clustered,0.7;-0.3,22,22,22,0,0,22,0,22,22,0,0,edgeCount
71,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
70,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
69,50,50,2,2,,clustered,0.7;-0.3,45,45,35,10,0,45,10,45,45,10,0,edgeCount
68,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
67,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
66,50,50,2,2,,clustered,0.7;-0.3,38,38,26,12,0,38,12,38,38,12,0,edgeCount
65,50,50,2,2,,clustered,0.7;-0.3,42,42,22,20,0,42,20,42,42,20,0,edgeCount
64,50,50,2,2,,clustered,0.7;-0.3,2,2,2,0,0,2,0,2,2,0,0,edgeCount
63,50,50,2,2,,clustered,0.7;-0.3,2,2,2,0,0,2,0,2,2,0,0,edgeCount
