rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch,nodeAdditions,hopsPath,hopsRankedOne,hopsUnrankedOne,overallNodeAdditionsOne
307,100,233,0.05,1,0,adversarial,0.8,4,4,4,0,0,4,4,4,0
306,100,246,0.05,5,4,adversarial,0.54,2,2,2,0,0,2,2,2,0
305,100,243,0.05,2,1,adversarial,0.64,3,7,3,0,8,3,3,3,4
304,100,227,0.05,5,4,adversarial,0.6,3,3,4,-1,0,15,3,3,0
303,100,253,0.05,2,1,adversarial,0.88,3,7,4,-1,0,8,3,3,0
302,100,250,0.05,2,1,adversarial,0.51,4,4,4,0,0,10,4,4,0
301,100,269,0.05,3,2,adversarial,0.74,3,3,4,-1,0,8,3,3,0
300,100,251,0.05,2,1,adversarial,0.83,4,6,4,0,0,4,4,4,0
299,100,215,0.05,2,1,adversarial,0.37,5,5,5,0,10,5,5,5,6
298,100,239,0.05,4,3,adversarial,0.53,2,2,2,0,0,2,2,2,0
297,100,273,0.05,3,2,adversarial,0.9,3,3,2,1,0,2,2,2,0
296,100,259,0.05,4,3,adversarial,0.57,2,2,2,0,24,2,2,2,12
295,100,234,0.05,5,4,adversarial,0.4,2,2,2,0,0,2,2,2,0
294,100,248,0.05,6,5,adversarial,0.34,3,3,3,0,0,3,3,3,0
293,100,237,0.05,1,0,adversarial,0.69,4,5,5,-1,4,6,4,5,4
292,100,251,0.05,2,1,adversarial,0.67,5,6,5,0,0,5,5,5,0
291,100,270,0.05,2,1,adversarial,0.39,4,4,4,0,0,4,4,4,0
290,100,264,0.05,5,4,adversarial,0.51,3,3,3,0,2,3,3,3,2
289,100,253,0.05,2,1,adversarial,0.62,4,4,4,0,12,12,4,4,6
288,100,268,0.05,4,3,adversarial,0.69,3,3,3,0,6,7,3,3,2
287,100,264,0.05,4,3,adversarial,0.8,3,5,3,0,10,3,3,3,4
286,100,278,0.05,4,3,adversarial,0.81,4,4,4,0,12,4,4,4,4
285,100,260,0.05,6,5,adversarial,0.79,2,2,2,0,10,2,2,2,4
284,100,248,0.05,6,5,adversarial,0.74,2,2,4,-2,0,6,2,2,0
