rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
919,100,106,0.02,2,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
918,100,103,0.02,1,,clustered,0.5;-0.3,5,5,5,0,2,5,0,5,5,0,2,edgeCount
917,100,107,0.02,1,,clustered,0.5;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
916,100,105,0.02,2,,clustered,0.5;-0.3,15,3,3,12,0,3,0,3,3,0,0,edgeCount
915,100,114,0.02,1,,clustered,0.5;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
914,100,110,0.02,3,,clustered,0.5;-0.3,7,30,4,3,4,21,17,11,35,7,4,edgeCount
913,100,109,0.02,1,,clustered,0.5;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
912,100,99,0.02,1,,clustered,0.5;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
911,100,96,0.02,2,,clustered,0.5;-0.3,9,17,7,2,4,17,10,17,22,10,4,edgeCount
910,100,108,0.02,2,,clustered,0.5;-0.3,5,17,5,0,2,7,2,7,7,2,2,edgeCount
909,100,106,0.02,1,,clustered,0.5;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
908,100,105,0.02,1,,clustered,0.5;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
907,100,98,0.02,1,,clustered,0.5;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
906,100,91,0.02,2,,clustered,0.5;-0.3,6,10,6,0,0,12,6,12,12,6,0,edgeCount
905,100,102,0.02,3,,clustered,0.5;-0.3,7,6,6,1,2,13,7,13,13,7,2,edgeCount
904,100,111,0.02,2,,clustered,0.5;-0.3,18,6,6,12,0,6,0,6,6,0,0,edgeCount
903,100,91,0.02,2,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
902,100,107,0.02,2,,clustered,0.5;-0.3,18,16,4,14,0,4,0,4,4,0,0,edgeCount
901,100,112,0.02,2,,clustered,0.5;-0.3,24,8,8,16,2,-1,-9,40,26,32,2,edgeCount
900,100,99,0.02,2,,clustered,0.5;-0.3,23,13,7,16,2,-1,-8,22,22,15,2,edgeCount
899,100,119,0.02,2,,clustered,0.5;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
898,100,102,0.02,1,,clustered,0.5;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
897,100,105,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
896,100,110,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
895,100,124,0.02,2,,clustered,0.5;-0.3,18,8,6,12,2,6,0,6,6,0,2,edgeCount
894,100,110,0.02,1,,clustered,0.5;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
893,100,100,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
892,100,85,0.02,1,,clustered,0.5;-0.3,12,12,12,0,2,-1,-13,12,12,0,2,edgeCount
891,100,108,0.02,1,,clustered,0.5;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
890,100,92,0.02,1,,clustered,0.5;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
889,100,100,0.02,1,,clustered,0.5;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
888,100,104,0.02,1,,clustered,0.5;-0.3,2,2,2,0,2,2,0,2,2,0,2,edgeCount
887,100,96,0.02,2,,clustered,0.5;-0.3,3,7,3,0,4,7,4,7,3,4,4,edgeCount
886,100,111,0.02,3,,clustered,0.5;-0.3,15,5,4,11,0,17,13,17,17,13,0,edgeCount
885,100,97,0.02,2,,clustered,0.5;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
