rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
896,50,194,0.15,8,,clustered,0.7;-0.3,23,8,3,20,0,5,2,9,9,6,0,edgeCount
895,50,184,0.15,6,,clustered,0.7;-0.3,33,3,3,30,0,-1,-4,-1,-1,-4,0,edgeCount
894,50,161,0.15,6,,clustered,0.7;-0.3,6,11,3,3,0,14,11,14,14,11,0,edgeCount
893,50,200,0.15,5,,clustered,0.7;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
891,50,201,0.15,9,,clustered,0.7;-0.3,3,29,3,0,0,9,6,5,9,2,0,edgeCount
890,50,181,0.15,8,,clustered,0.7;-0.3,21,15,3,18,26,-1,-4,-1,-1,-4,6,edgeCount
889,50,171,0.15,7,,clustered,0.7;-0.3,21,15,4,17,0,29,25,29,29,25,0,edgeCount
888,50,193,0.15,6,,clustered,0.7;-0.3,23,35,3,20,0,-1,-4,-1,-1,-4,0,edgeCount
887,50,184,0.15,5,,clustered,0.7;-0.3,17,11,2,15,40,2,0,8,2,6,12,edgeCount
886,50,172,0.15,4,,clustered,0.7;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
885,50,173,0.15,5,,clustered,0.7;-0.3,17,7,4,13,12,-1,-5,-1,-1,-5,4,edgeCount
884,50,196,0.15,5,,clustered,0.7;-0.3,4,6,2,2,0,2,0,10,2,8,0,edgeCount
883,50,208,0.15,6,,clustered,0.7;-0.3,21,8,4,17,20,-1,-5,22,26,18,4,edgeCount
881,50,174,0.15,7,,clustered,0.7;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
880,50,184,0.15,6,,clustered,0.7;-0.3,3,3,3,0,0,5,2,5,7,2,0,edgeCount
879,50,195,0.15,7,,clustered,0.7;-0.3,12,46,4,8,14,10,6,14,26,10,4,edgeCount
878,50,164,0.15,6,,clustered,0.7;-0.3,35,13,4,31,0,-1,-5,-1,-1,-5,0,edgeCount
877,50,193,0.15,6,,clustered,0.7;-0.3,13,11,3,10,0,7,4,3,3,0,0,edgeCount
876,50,179,0.15,3,,clustered,0.7;-0.3,10,8,3,7,0,7,4,3,3,0,0,edgeCount
875,50,201,0.15,6,,clustered,0.7;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
874,50,185,0.15,5,,clustered,0.7;-0.3,32,15,3,29,12,5,2,3,3,0,4,edgeCount
873,50,187,0.15,7,,clustered,0.7;-0.3,23,13,3,20,16,3,0,3,3,0,4,edgeCount
872,50,182,0.15,9,,clustered,0.7;-0.3,26,10,4,22,0,-1,-5,-1,-1,-5,0,edgeCount
870,50,179,0.15,5,,clustered,0.7;-0.3,-1,-1,4,-5,16,-1,-5,12,8,8,6,edgeCount
867,50,187,0.15,4,,clustered,0.7;-0.3,7,31,4,3,24,-1,-5,-1,-1,-5,6,edgeCount
866,50,187,0.15,7,,clustered,0.7;-0.3,11,5,3,8,18,-1,-4,-1,-1,-4,6,edgeCount
865,50,176,0.15,5,,clustered,0.7;-0.3,13,8,4,9,6,-1,-5,-1,-1,-5,2,edgeCount
864,50,175,0.15,5,,clustered,0.7;-0.3,26,3,3,23,0,5,2,3,3,0,0,edgeCount
863,50,193,0.15,7,,clustered,0.7;-0.3,15,7,3,12,0,-1,-4,-1,-1,-4,0,edgeCount
862,50,187,0.15,7,,clustered,0.7;-0.3,12,2,2,10,32,2,0,2,2,0,8,edgeCount
861,50,185,0.15,6,,clustered,0.7;-0.3,32,24,4,28,10,-1,-5,-1,-1,-5,2,edgeCount
860,50,180,0.15,4,,clustered,0.7;-0.3,4,5,4,0,0,8,4,8,8,4,0,edgeCount
859,50,186,0.15,7,,clustered,0.7;-0.3,4,70,4,0,38,20,16,20,36,16,10,edgeCount
858,50,184,0.15,5,,clustered,0.7;-0.3,20,8,4,16,30,-1,-5,17,7,13,8,edgeCount
857,50,163,0.15,5,,clustered,0.7;-0.3,4,32,4,0,0,16,12,16,16,12,0,edgeCount
856,50,181,0.15,3,,clustered,0.7;-0.3,-1,-1,5,-6,12,-1,-6,-1,-1,-6,4,edgeCount
855,50,188,0.15,6,,clustered,0.7;-0.3,17,9,3,14,0,-1,-4,-1,-1,-4,0,edgeCount
848,50,186,0.15,5,,clustered,0.7;-0.3,10,13,4,6,0,-1,-5,-1,-1,-5,0,edgeCount
847,50,183,0.15,9,,clustered,0.7;-0.3,7,25,3,4,4,17,14,15,15,12,2,edgeCount
845,50,199,0.15,8,,clustered,0.7;-0.3,10,25,3,7,6,10,7,14,22,11,2,edgeCount
844,50,176,0.15,8,,clustered,0.7;-0.3,-1,-1,4,-5,6,-1,-5,-1,-1,-5,2,edgeCount
843,50,169,0.15,9,,clustered,0.7;-0.3,21,13,3,18,0,7,4,7,7,4,0,edgeCount
842,50,166,0.15,4,,clustered,0.7;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
841,50,178,0.15,8,,clustered,0.7;-0.3,12,18,4,8,0,16,12,16,16,12,0,edgeCount
840,50,189,0.15,10,,clustered,0.7;-0.3,17,21,5,12,0,23,18,23,23,18,0,edgeCount
839,50,181,0.15,7,,clustered,0.7;-0.3,17,3,3,14,0,5,2,5,5,2,0,edgeCount
838,50,188,0.15,8,,clustered,0.7;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
837,50,178,0.15,6,,clustered,0.7;-0.3,15,19,3,12,26,-1,-4,-1,-1,-4,8,edgeCount
836,50,207,0.15,7,,clustered,0.7;-0.3,7,39,3,4,0,11,8,11,11,8,0,edgeCount
835,50,198,0.15,6,,clustered,0.7;-0.3,4,52,4,0,10,14,10,14,16,10,2,edgeCount
834,50,186,0.15,2,,clustered,0.7;-0.3,19,37,4,15,40,-1,-5,12,21,8,20,edgeCount
833,50,173,0.15,5,,clustered,0.7;-0.3,4,34,2,2,0,2,0,12,2,10,0,edgeCount
832,50,202,0.15,4,,clustered,0.7;-0.3,-1,-1,5,-6,62,-1,-6,-1,-1,-6,16,edgeCount
831,50,178,0.15,6,,clustered,0.7;-0.3,10,8,4,6,0,-1,-5,-1,-1,-5,0,edgeCount
830,50,173,0.15,5,,clustered,0.7;-0.3,11,33,5,6,0,17,12,17,17,12,0,edgeCount
828,50,194,0.15,7,,clustered,0.7;-0.3,13,23,3,10,0,7,4,3,7,0,0,edgeCount
827,50,186,0.15,2,,clustered,0.7;-0.3,-1,-1,5,-6,16,-1,-6,-1,-1,-6,8,edgeCount
826,50,190,0.15,7,,clustered,0.7;-0.3,46,30,2,44,10,2,0,10,2,8,4,edgeCount
825,50,181,0.15,6,,clustered,0.7;-0.3,3,13,3,0,18,5,2,5,7,2,6,edgeCount
824,50,184,0.15,6,,clustered,0.7;-0.3,6,19,3,3,16,7,4,7,7,4,4,edgeCount
822,50,175,0.15,5,,clustered,0.7;-0.3,7,15,3,4,4,5,2,3,3,0,2,edgeCount
821,50,199,0.15,9,,clustered,0.7;-0.3,5,27,3,2,0,13,10,11,13,8,0,edgeCount
820,50,194,0.15,8,,clustered,0.7;-0.3,28,2,2,26,0,4,2,14,4,12,0,edgeCount
819,50,210,0.15,6,,clustered,0.7;-0.3,19,33,3,16,40,-1,-4,-1,-1,-4,10,edgeCount
818,50,163,0.15,9,,clustered,0.7;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,edgeCount
815,50,185,0.15,6,,clustered,0.7;-0.3,4,8,4,0,0,12,8,12,12,8,0,edgeCount
814,50,191,0.15,9,,clustered,0.7;-0.3,29,7,3,26,14,-1,-4,-1,-1,-4,4,edgeCount
813,50,199,0.15,4,,clustered,0.7;-0.3,4,4,4,0,16,10,6,10,14,6,4,edgeCount
812,50,184,0.15,7,,clustered,0.7;-0.3,11,27,3,8,0,9,6,9,9,6,0,edgeCount
811,50,164,0.15,5,,clustered,0.7;-0.3,3,3,3,0,0,5,2,5,5,2,0,edgeCount
809,50,181,0.15,5,,clustered,0.7;-0.3,9,17,3,6,0,-1,-4,-1,-1,-4,0,edgeCount
808,50,177,0.15,6,,clustered,0.7;-0.3,9,8,3,6,0,3,0,3,3,0,0,edgeCount
807,50,205,0.15,10,,clustered,0.7;-0.3,9,31,3,6,12,19,16,17,19,14,4,edgeCount
806,50,195,0.15,6,,clustered,0.7;-0.3,10,4,2,8,0,4,2,10,4,8,0,edgeCount
805,50,165,0.15,8,,clustered,0.7;-0.3,7,13,3,4,12,11,8,11,11,8,4,edgeCount
804,50,190,0.15,8,,clustered,0.7;-0.3,3,21,3,0,8,19,16,9,11,6,2,edgeCount
803,50,188,0.15,5,,clustered,0.7;-0.3,9,11,3,6,0,7,4,7,7,4,0,edgeCount
802,50,158,0.15,4,,clustered,0.7;-0.3,3,11,3,0,0,3,0,3,3,0,0,edgeCount
801,50,180,0.15,7,,clustered,0.7;-0.3,13,9,3,10,0,9,6,9,13,6,0,edgeCount
800,50,161,0.15,6,,clustered,0.7;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,edgeCount
799,50,182,0.15,5,,clustered,0.7;-0.3,46,38,4,42,0,-1,-5,-1,-1,-5,0,edgeCount
798,50,181,0.15,7,,clustered,0.7;-0.3,3,21,3,0,0,3,0,3,5,0,0,edgeCount
797,50,168,0.15,3,,clustered,0.7;-0.3,35,31,4,31,24,-1,-5,12,14,8,8,edgeCount
796,50,170,0.15,3,,clustered,0.7;-0.3,18,18,2,16,6,4,2,4,4,2,2,edgeCount
