rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
931,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,3,3,2,1,0,2,0,2,2,0,0,shortest
930,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,3,3,3,0,0,3,0,3,3,0,0,shortest
929,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,4,5,4,0,28,4,0,4,4,0,16,shortest
928,25,56,graphml/AttMpls.graphml,5,4,clustered,0.6;-0.3,4,4,2,2,0,4,2,4,4,2,0,shortest
927,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,10,10,4,6,0,10,6,10,10,6,0,shortest
926,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,3,9,3,0,8,-1,-4,-1,-1,-4,0,shortest
924,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,4,8,3,1,0,4,1,4,4,1,0,shortest
923,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,3,3,3,0,0,3,0,3,3,0,0,shortest
922,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,10,6,4,6,0,12,8,12,12,8,0,shortest
921,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,2,2,2,0,0,2,0,2,2,0,0,shortest
920,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,6,4,3,3,0,6,3,6,6,3,0,shortest
919,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,11,11,4,7,0,-1,-5,-1,-1,-5,0,shortest
918,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,6,6,2,4,12,4,2,4,4,2,0,shortest
916,25,56,graphml/AttMpls.graphml,7,6,clustered,0.6;-0.3,2,2,2,0,0,2,0,2,2,0,0,shortest
914,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,3,9,3,0,2,3,0,3,3,0,0,shortest
913,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,4,8,3,1,6,-1,-4,4,4,1,2,shortest
912,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,9,9,5,4,0,9,4,9,9,4,0,shortest
910,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,15,11,3,12,18,14,11,14,14,11,0,shortest
909,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,3,3,3,0,0,3,0,3,3,0,0,shortest
908,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,3,3,3,0,0,-1,-4,3,3,0,0,shortest
907,25,56,graphml/AttMpls.graphml,5,4,clustered,0.6;-0.3,16,16,3,13,0,8,5,16,16,13,0,shortest
906,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,5,5,3,2,0,-1,-4,3,3,0,0,shortest
905,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,13,13,4,9,6,-1,-5,-1,-1,-5,0,shortest
904,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,3,3,3,0,0,3,0,3,3,0,0,shortest
903,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,3,3,3,0,0,3,0,3,3,0,0,shortest
902,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,3,3,2,1,10,5,3,4,4,2,4,shortest
901,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,4,4,4,0,0,4,0,10,10,6,0,shortest
900,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,11,11,3,8,0,9,6,9,9,6,0,shortest
899,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,7,5,3,4,2,4,1,4,4,1,0,shortest
898,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,9,9,4,5,2,5,1,15,15,11,2,shortest
897,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,2,2,2,0,0,2,0,2,2,0,0,shortest
896,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,10,16,4,6,8,4,0,4,4,0,0,shortest
895,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,3,9,3,0,0,3,0,3,3,0,0,shortest
894,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,5,5,3,2,0,5,2,7,7,4,0,shortest
893,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,2,2,2,0,0,2,0,2,2,0,0,shortest
892,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,2,2,2,0,4,2,0,2,2,0,0,shortest
891,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,6,6,4,2,12,-1,-5,-1,-1,-5,8,shortest
890,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,-1,-1,3,-4,10,-1,-4,-1,-1,-4,0,shortest
889,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,20,14,5,15,6,12,7,12,12,7,0,shortest
888,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,5,5,5,0,2,5,0,5,5,0,0,shortest
887,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,3,7,2,1,0,2,0,2,2,0,0,shortest
886,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,15,17,5,10,12,-1,-6,23,13,18,8,shortest
885,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,3,3,2,1,16,3,1,2,2,0,0,shortest
884,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,3,3,3,0,14,6,3,6,6,3,0,shortest
883,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,12,18,4,8,0,8,4,8,8,4,0,shortest
881,25,56,graphml/AttMpls.graphml,5,4,clustered,0.6;-0.3,5,11,3,2,2,5,2,5,5,2,0,shortest
880,25,56,graphml/AttMpls.graphml,5,4,clustered,0.6;-0.3,4,4,2,2,2,4,2,4,4,2,0,shortest
879,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,29,25,5,24,18,-1,-6,-1,-1,-6,0,shortest
878,25,56,graphml/AttMpls.graphml,3,2,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
877,25,56,graphml/AttMpls.graphml,5,4,clustered,0.6;-0.3,6,6,4,2,2,9,5,9,9,5,0,shortest
876,25,56,graphml/AttMpls.graphml,4,3,clustered,0.6;-0.3,15,13,4,11,14,-1,-5,-1,-1,-5,0,shortest
875,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,3,3,3,0,0,3,0,3,3,0,0,shortest
874,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,9,9,3,6,0,-1,-4,-1,-1,-4,0,shortest
873,25,56,graphml/AttMpls.graphml,2,1,clustered,0.6;-0.3,10,10,5,5,6,-1,-6,-1,-1,-6,0,shortest
872,25,56,graphml/AttMpls.graphml,5,4,clustered,0.6;-0.3,6,6,4,2,0,-1,-5,6,6,2,0,shortest
871,25,56,graphml/AttMpls.graphml,6,5,clustered,0.6;-0.3,5,5,3,2,12,5,2,7,7,4,0,shortest
