rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
831,100,265,0.05,3,2,clustered,0.5;-0.15,-1,-1,6,-7,6,-1,-7,-1,-1,-7,4,average
828,100,251,0.05,2,1,clustered,0.5;-0.15,-1,-1,6,-7,12,-1,-7,-1,-1,-7,6,average
827,100,254,0.05,5,4,clustered,0.5;-0.15,2,2,2,0,0,2,0,2,2,0,0,average
826,100,245,0.05,7,6,clustered,0.5;-0.15,3,3,3,0,0,3,0,3,3,0,0,average
825,100,249,0.05,2,1,clustered,0.5;-0.15,-1,-1,5,-6,8,-1,-6,-1,-1,-6,4,average
824,100,252,0.05,2,1,clustered,0.5;-0.15,17,18,5,12,20,-1,-6,21,21,16,10,average
822,100,259,0.05,2,1,clustered,0.5;-0.15,6,6,5,1,24,-1,-6,9,6,4,12,average
821,100,257,0.05,3,2,clustered,0.5;-0.15,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,average
820,100,228,0.05,2,1,clustered,0.5;-0.15,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,average
818,100,257,0.05,3,2,clustered,0.5;-0.15,-1,-1,4,-5,8,-1,-5,-1,-1,-5,4,average
817,100,257,0.05,3,2,clustered,0.5;-0.15,17,12,4,13,0,9,5,9,9,5,0,average
816,100,228,0.05,1,0,clustered,0.5;-0.15,-1,-1,6,-7,6,-1,-7,-1,-1,-7,6,average
815,100,236,0.05,4,3,clustered,0.5;-0.15,17,9,6,11,4,-1,-7,19,9,13,2,average
813,100,263,0.05,5,4,clustered,0.5;-0.15,50,50,4,46,16,10,6,10,10,6,6,average
812,100,234,0.05,4,3,clustered,0.5;-0.15,8,44,4,4,26,-1,-5,-1,-1,-5,12,average
811,100,274,0.05,6,5,clustered,0.5;-0.15,-1,-1,5,-6,28,-1,-6,-1,-1,-6,10,average
810,100,261,0.05,2,1,clustered,0.5;-0.15,14,20,4,10,0,4,0,4,4,0,0,average
808,100,266,0.05,4,3,clustered,0.5;-0.15,3,9,3,0,0,5,2,3,3,0,0,average
807,100,236,0.05,2,1,clustered,0.5;-0.15,7,10,5,2,8,-1,-6,7,7,2,4,average
806,100,250,0.05,4,3,clustered,0.5;-0.15,23,33,5,18,10,-1,-6,-1,-1,-6,4,average
805,100,245,0.05,4,3,clustered,0.5;-0.15,-1,-1,5,-6,6,-1,-6,-1,-1,-6,2,average
804,100,251,0.05,4,3,clustered,0.5;-0.15,10,16,6,4,24,-1,-7,-1,-1,-7,8,average
802,100,263,0.05,4,3,clustered,0.5;-0.15,33,23,4,29,24,-1,-5,-1,-1,-5,10,average
801,100,261,0.05,5,4,clustered,0.5;-0.15,-1,-1,4,-5,12,-1,-5,-1,-1,-5,6,average
800,100,236,0.05,4,3,clustered,0.5;-0.15,9,31,5,4,8,-1,-6,11,11,6,4,average
799,100,234,0.05,3,2,clustered,0.5;-0.15,4,17,4,0,0,10,6,4,4,0,0,average
798,100,244,0.05,4,3,clustered,0.5;-0.15,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,average
796,100,237,0.05,3,2,clustered,0.5;-0.15,11,38,5,6,8,-1,-6,16,14,11,4,average
795,100,250,0.05,5,4,clustered,0.5;-0.15,10,10,4,6,0,-1,-5,-1,-1,-5,0,average
794,100,234,0.05,1,0,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,average
791,100,225,0.05,4,3,clustered,0.5;-0.15,7,19,5,2,0,-1,-6,-1,-1,-6,0,average
790,100,237,0.05,2,1,clustered,0.5;-0.15,4,22,4,0,14,8,4,8,8,4,8,average
789,100,254,0.05,5,4,clustered,0.5;-0.15,3,3,3,0,6,3,0,3,3,0,2,average
787,100,241,0.05,4,3,clustered,0.5;-0.15,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,average
786,100,237,0.05,5,4,clustered,0.5;-0.15,12,8,6,6,0,-1,-7,-1,-1,-7,0,average
784,100,238,0.05,3,2,clustered,0.5;-0.15,-1,-1,4,-5,14,-1,-5,-1,-1,-5,6,average
783,100,246,0.05,2,1,clustered,0.5;-0.15,6,3,3,3,16,3,0,3,3,0,8,average
781,100,284,0.05,5,4,clustered,0.5;-0.15,7,27,5,2,0,-1,-6,-1,-1,-6,0,average
778,100,233,0.05,4,3,clustered,0.5;-0.15,19,41,5,14,0,-1,-6,-1,-1,-6,0,average
777,100,242,0.05,2,1,clustered,0.5;-0.15,4,12,4,0,8,4,0,4,4,0,4,average
776,100,243,0.05,1,0,clustered,0.5;-0.15,5,5,5,0,0,5,0,5,5,0,0,average
775,100,222,0.05,3,2,clustered,0.5;-0.15,-1,-1,5,-6,4,-1,-6,-1,-1,-6,2,average
774,100,245,0.05,3,2,clustered,0.5;-0.15,14,18,4,10,0,6,2,6,6,2,0,average
772,100,255,0.05,1,0,clustered,0.5;-0.15,9,15,5,4,4,-1,-6,9,15,4,4,average
771,100,242,0.05,5,4,clustered,0.5;-0.15,24,56,4,20,12,-1,-5,-1,-1,-5,4,average
770,100,263,0.05,5,4,clustered,0.5;-0.15,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,average
769,100,228,0.05,3,2,clustered,0.5;-0.15,3,3,3,0,0,3,0,3,3,0,0,average
768,100,259,0.05,4,3,clustered,0.5;-0.15,-1,-1,6,-7,4,-1,-7,-1,-1,-7,2,average
767,100,250,0.05,1,0,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,average
766,100,228,0.05,4,3,clustered,0.5;-0.15,42,14,5,37,0,-1,-6,-1,-1,-6,0,average
765,100,242,0.05,1,0,clustered,0.5;-0.15,3,3,3,0,0,3,0,3,3,0,0,average
763,100,263,0.05,6,5,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,average
760,100,248,0.05,6,5,clustered,0.5;-0.15,2,2,2,0,0,2,0,2,2,0,0,average
759,100,239,0.05,3,2,clustered,0.5;-0.15,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,average
758,100,246,0.05,3,2,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,average
757,100,272,0.05,5,4,clustered,0.5;-0.15,45,13,5,40,0,-1,-6,-1,-1,-6,0,average
754,100,262,0.05,3,2,clustered,0.5;-0.15,18,22,4,14,0,4,0,8,8,4,0,average
753,100,263,0.05,5,4,clustered,0.5;-0.15,21,21,5,16,0,-1,-6,-1,-1,-6,0,average
752,100,251,0.05,5,4,clustered,0.5;-0.15,3,3,3,0,0,3,0,3,3,0,0,average
750,100,267,0.05,3,2,clustered,0.5;-0.15,-1,-1,6,-7,46,-1,-7,-1,-1,-7,18,average
749,100,275,0.05,3,2,clustered,0.5;-0.15,19,19,5,14,16,9,4,9,9,4,6,average
748,100,232,0.05,3,2,clustered,0.5;-0.15,3,3,3,0,0,3,0,3,3,0,0,average
746,100,283,0.05,3,2,clustered,0.5;-0.15,21,21,4,17,0,-1,-5,-1,-1,-5,0,average
745,100,243,0.05,3,2,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,average
744,100,227,0.05,3,2,clustered,0.5;-0.15,8,8,6,2,0,-1,-7,-1,-1,-7,0,average
743,100,230,0.05,4,3,clustered,0.5;-0.15,40,22,5,35,12,-1,-6,-1,-1,-6,4,average
