rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
899,100,264,0.05,3,2,clustered,0.5;-0.15,3,3,3,0,16,3,0,3,3,0,6,shortest
898,100,252,0.05,5,4,clustered,0.5;-0.15,26,24,5,21,0,-1,-6,-1,-1,-6,0,shortest
897,100,241,0.05,7,6,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,shortest
895,100,263,0.05,1,0,clustered,0.5;-0.15,-1,-1,6,-7,12,-1,-7,-1,-1,-7,12,shortest
894,100,252,0.05,5,4,clustered,0.5;-0.15,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,shortest
893,100,275,0.05,4,3,clustered,0.5;-0.15,15,11,4,11,0,-1,-5,-1,-1,-5,0,shortest
892,100,268,0.05,6,5,clustered,0.5;-0.15,10,10,4,6,0,-1,-5,-1,-1,-5,0,shortest
891,100,246,0.05,6,5,clustered,0.5;-0.15,63,63,4,59,4,-1,-5,-1,-1,-5,2,shortest
890,100,270,0.05,5,4,clustered,0.5;-0.15,-1,-1,7,-8,10,-1,-8,-1,-1,-8,4,shortest
889,100,255,0.05,7,6,clustered,0.5;-0.15,3,3,3,0,0,3,0,3,3,0,0,shortest
888,100,242,0.05,4,3,clustered,0.5;-0.15,15,15,5,10,6,11,6,11,11,6,2,shortest
887,100,274,0.05,4,3,clustered,0.5;-0.15,11,15,4,7,20,-1,-5,21,29,17,8,shortest
886,100,234,0.05,4,3,clustered,0.5;-0.15,30,30,5,25,4,-1,-6,8,8,3,2,shortest
885,100,234,0.05,6,5,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,shortest
884,100,261,0.05,6,5,clustered,0.5;-0.15,-1,-1,4,-5,16,-1,-5,-1,-1,-5,8,shortest
883,100,259,0.05,5,4,clustered,0.5;-0.15,9,13,4,5,4,-1,-5,-1,-1,-5,2,shortest
882,100,252,0.05,2,1,clustered,0.5;-0.15,-1,-1,7,-8,8,-1,-8,-1,-1,-8,4,shortest
881,100,251,0.05,4,3,clustered,0.5;-0.15,3,3,3,0,0,7,4,7,7,4,0,shortest
880,100,228,0.05,5,4,clustered,0.5;-0.15,8,6,4,4,6,-1,-5,-1,-1,-5,4,shortest
879,100,244,0.05,4,3,clustered,0.5;-0.15,-1,-1,5,-6,4,-1,-6,-1,-1,-6,2,shortest
878,100,234,0.05,1,0,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,shortest
876,100,229,0.05,2,1,clustered,0.5;-0.15,-1,-1,6,-7,4,-1,-7,-1,-1,-7,2,shortest
875,100,260,0.05,4,3,clustered,0.5;-0.15,-1,-1,4,-5,4,-1,-5,-1,-1,-5,2,shortest
