rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
925,50,202,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
924,50,198,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
923,50,171,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,2,edgeCount
922,50,199,0.15,7,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
921,50,193,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
920,50,189,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
919,50,189,0.15,9,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
918,50,175,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
917,50,181,0.15,7,,clustered,0.9;-0.3,-1,-1,-1,0,16,-1,0,-1,-1,0,4,edgeCount
916,50,195,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
915,50,186,0.15,9,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
914,50,160,0.15,5,,clustered,0.9;-0.3,-1,-1,6,-7,6,-1,-7,-1,-1,-7,2,edgeCount
913,50,195,0.15,8,,clustered,0.9;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,2,edgeCount
912,50,203,0.15,7,,clustered,0.9;-0.3,-1,-1,-1,0,32,-1,0,-1,-1,0,8,edgeCount
911,50,216,0.15,8,,clustered,0.9;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
910,50,174,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,22,-1,0,-1,-1,0,8,edgeCount
909,50,191,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
908,50,178,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,10,-1,0,-1,-1,0,4,edgeCount
907,50,160,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,24,-1,0,-1,-1,0,8,edgeCount
906,50,210,0.15,8,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
905,50,213,0.15,8,,clustered,0.9;-0.3,-1,-1,-1,0,16,-1,0,-1,-1,0,4,edgeCount
904,50,180,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
903,50,160,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
902,50,162,0.15,7,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
901,50,175,0.15,2,,clustered,0.9;-0.3,4,4,2,2,0,2,0,4,2,2,0,edgeCount
900,50,183,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,18,-1,0,-1,-1,0,6,edgeCount
899,50,213,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
898,50,176,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,40,-1,0,-1,-1,0,14,edgeCount
897,50,160,0.15,7,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
896,50,187,0.15,11,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
895,50,179,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
894,50,185,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,36,-1,0,-1,-1,0,10,edgeCount
893,50,171,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,18,-1,0,-1,-1,0,8,edgeCount
892,50,177,0.15,8,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
891,50,199,0.15,9,,clustered,0.9;-0.3,3,27,3,0,0,11,8,3,3,0,0,edgeCount
890,50,202,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,40,-1,0,-1,-1,0,10,edgeCount
889,50,175,0.15,7,,clustered,0.9;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,2,edgeCount
888,50,168,0.15,7,,clustered,0.9;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,edgeCount
887,50,180,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,14,-1,0,-1,-1,0,4,edgeCount
886,50,201,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,44,-1,0,-1,-1,0,12,edgeCount
885,50,190,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
884,50,184,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,16,-1,0,-1,-1,0,4,edgeCount
883,50,186,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,12,-1,0,-1,-1,0,4,edgeCount
882,50,185,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
881,50,202,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,40,-1,0,-1,-1,0,10,edgeCount
880,50,175,0.15,10,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
879,50,158,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,24,-1,0,-1,-1,0,8,edgeCount
878,50,183,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,16,-1,0,-1,-1,0,4,edgeCount
877,50,175,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
876,50,193,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
875,50,192,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
874,50,179,0.15,3,,clustered,0.9;-0.3,9,29,5,4,0,-1,-6,-1,-1,-6,0,edgeCount
873,50,195,0.15,5,,clustered,0.9;-0.3,-1,-1,7,-8,16,-1,-8,-1,-1,-8,4,edgeCount
872,50,174,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,12,-1,0,-1,-1,0,4,edgeCount
871,50,176,0.15,6,,clustered,0.9;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
870,50,172,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,2,edgeCount
869,50,187,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,8,edgeCount
868,50,193,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,2,edgeCount
867,50,170,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,30,-1,0,-1,-1,0,10,edgeCount
866,50,184,0.15,8,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
865,50,174,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,18,-1,0,-1,-1,0,6,edgeCount
864,50,174,0.15,8,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
863,50,181,0.15,9,,clustered,0.9;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
862,50,161,0.15,8,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
861,50,194,0.15,9,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
860,50,165,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
859,50,186,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
858,50,166,0.15,8,,clustered,0.9;-0.3,-1,-1,-1,0,18,-1,0,-1,-1,0,6,edgeCount
857,50,188,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,12,-1,0,-1,-1,0,4,edgeCount
856,50,172,0.15,6,,clustered,0.9;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
855,50,176,0.15,4,,clustered,0.9;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
854,50,169,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,10,-1,0,-1,-1,0,4,edgeCount
853,50,191,0.15,7,,clustered,0.9;-0.3,-1,-1,-1,0,24,-1,0,-1,-1,0,6,edgeCount
852,50,165,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,22,-1,0,-1,-1,0,8,edgeCount
851,50,145,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
850,50,200,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
849,50,184,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,2,edgeCount
848,50,177,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
847,50,179,0.15,6,,clustered,0.9;-0.3,3,7,3,0,0,3,0,3,3,0,0,edgeCount
846,50,165,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,16,-1,0,-1,-1,0,6,edgeCount
845,50,198,0.15,5,,clustered,0.9;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
844,50,201,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
843,50,178,0.15,6,,clustered,0.9;-0.3,-1,-1,5,-6,20,-1,-6,-1,-1,-6,6,edgeCount
842,50,195,0.15,7,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
841,50,171,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
840,50,149,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,12,-1,0,-1,-1,0,6,edgeCount
839,50,195,0.15,9,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
838,50,211,0.15,12,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
837,50,176,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,36,-1,0,-1,-1,0,10,edgeCount
836,50,174,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,16,-1,0,-1,-1,0,4,edgeCount
835,50,186,0.15,7,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
834,50,170,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
833,50,198,0.15,7,,clustered,0.9;-0.3,-1,-1,5,-6,8,-1,-6,-1,-1,-6,2,edgeCount
832,50,162,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
831,50,180,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
830,50,173,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,2,edgeCount
829,50,202,0.15,7,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
828,50,194,0.15,10,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
827,50,176,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,2,edgeCount
826,50,187,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,50,-1,0,-1,-1,0,16,edgeCount
825,50,176,0.15,5,,clustered,0.9;-0.3,23,5,5,18,12,-1,-6,-1,-1,-6,4,edgeCount
824,50,171,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
823,50,194,0.15,7,,clustered,0.9;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,2,edgeCount
822,50,200,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
821,50,179,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
820,50,166,0.15,9,,clustered,0.9;-0.3,-1,-1,4,-5,10,-1,-5,-1,-1,-5,4,edgeCount
819,50,191,0.15,10,,clustered,0.9;-0.3,-1,-1,6,-7,14,-1,-7,-1,-1,-7,4,edgeCount
818,50,196,0.15,7,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
817,50,173,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
816,50,182,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,2,edgeCount
815,50,202,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,58,-1,0,-1,-1,0,16,edgeCount
814,50,178,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,56,-1,0,-1,-1,0,16,edgeCount
813,50,171,0.15,3,,clustered,0.9;-0.3,-1,-1,6,-7,24,-1,-7,-1,-1,-7,8,edgeCount
812,50,187,0.15,7,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
811,50,176,0.15,5,,clustered,0.9;-0.3,-1,-1,6,-7,48,-1,-7,-1,-1,-7,14,edgeCount
810,50,185,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,32,-1,0,-1,-1,0,16,edgeCount
809,50,172,0.15,7,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
808,50,159,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
807,50,190,0.15,7,,clustered,0.9;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,2,edgeCount
806,50,178,0.15,10,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
805,50,188,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,14,-1,0,-1,-1,0,4,edgeCount
804,50,174,0.15,4,,clustered,0.9;-0.3,5,11,5,0,16,-1,-6,-1,-1,-6,4,edgeCount
803,50,179,0.15,7,,clustered,0.9;-0.3,17,4,4,13,0,-1,-5,-1,-1,-5,0,edgeCount
802,50,184,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
801,50,179,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,2,edgeCount
800,50,179,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,14,-1,0,-1,-1,0,4,edgeCount
