rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
919,25,52,0.15,3,,clustered,0.8;-0.3,5,9,3,2,12,5,2,5,7,2,6,edgeCount
918,25,45,0.15,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
917,25,49,0.15,2,,clustered,0.8;-0.3,4,10,4,0,8,8,4,8,12,4,4,edgeCount
916,25,66,0.15,6,,clustered,0.8;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
915,25,45,0.15,1,,clustered,0.8;-0.3,2,2,2,0,4,2,0,2,2,0,4,edgeCount
914,25,47,0.15,3,,clustered,0.8;-0.3,9,13,3,6,0,5,2,5,5,2,0,edgeCount
913,25,39,0.15,1,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
912,25,46,0.15,1,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
911,25,46,0.15,3,,clustered,0.8;-0.3,14,14,2,12,4,2,0,2,2,0,2,edgeCount
910,25,47,0.15,1,,clustered,0.8;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
909,25,52,0.15,4,,clustered,0.8;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,4,edgeCount
908,25,51,0.15,2,,clustered,0.8;-0.3,10,10,4,6,0,6,2,6,6,2,0,edgeCount
907,25,50,0.15,2,,clustered,0.8;-0.3,5,17,5,0,0,11,6,11,11,6,0,edgeCount
906,25,38,0.15,4,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
905,25,43,0.15,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
904,25,50,0.15,4,,clustered,0.8;-0.3,14,6,4,10,4,-1,-5,-1,-1,-5,2,edgeCount
903,25,44,0.15,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
902,25,45,0.15,3,,clustered,0.8;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,4,edgeCount
901,25,45,0.15,4,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
900,25,44,0.15,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
899,25,36,0.15,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
898,25,40,0.15,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
897,25,44,0.15,4,,clustered,0.8;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
896,25,43,0.15,3,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,2,edgeCount
895,25,43,0.15,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
894,25,50,0.15,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
893,25,41,0.15,1,,clustered,0.8;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
892,25,32,0.15,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
