rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
933,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
932,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
931,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,29,29,15,14,0,29,14,29,29,14,0,edgeCount
930,197,243,graphml/Cogentco.graphml,3,,clustered,0.7;-0.3,-1,-1,20,-21,0,-1,-21,-1,-1,-21,0,edgeCount
929,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,18,18,8,10,2,18,10,18,18,10,2,edgeCount
928,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
927,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,39,13,10,29,0,13,3,13,13,3,0,edgeCount
926,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
925,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,19,105,12,7,2,41,29,41,41,29,2,edgeCount
924,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
923,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,19,19,7,12,4,7,0,7,7,0,4,edgeCount
922,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
921,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,17,-18,0,-1,-18,-1,-1,-18,0,edgeCount
920,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
919,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
918,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,24,24,24,0,0,24,0,24,24,0,0,edgeCount
917,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
916,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,14,13,11,3,2,36,25,36,58,25,2,edgeCount
915,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,19,19,16,3,2,-1,-17,-1,-1,-17,2,edgeCount
914,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
913,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,55,21,15,40,4,-1,-16,39,39,24,4,edgeCount
912,197,243,graphml/Cogentco.graphml,3,,clustered,0.7;-0.3,12,12,11,1,0,12,1,12,12,1,0,edgeCount
911,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,57,57,16,41,0,57,41,57,57,41,0,edgeCount
910,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
909,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,41,23,11,30,2,11,0,11,11,0,2,edgeCount
908,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,21,-22,0,-1,-22,-1,-1,-22,0,edgeCount
907,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
906,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
905,197,243,graphml/Cogentco.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
904,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
903,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,32,32,14,18,0,32,18,32,32,18,0,edgeCount
902,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
901,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
900,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,18,-19,0,-1,-19,-1,-1,-19,0,edgeCount
899,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,22,-23,0,-1,-23,-1,-1,-23,0,edgeCount
898,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,36,14,12,24,0,-1,-13,-1,-1,-13,0,edgeCount
897,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
896,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
895,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,22,-23,0,-1,-23,-1,-1,-23,0,edgeCount
894,197,243,graphml/Cogentco.graphml,3,,clustered,0.7;-0.3,31,31,6,25,0,31,25,31,31,25,0,edgeCount
893,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,55,55,25,30,0,55,30,55,55,30,0,edgeCount
892,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
891,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,17,13,5,12,0,-1,-6,-1,-1,-6,0,edgeCount
890,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
889,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,14,-15,0,-1,-15,-1,-1,-15,0,edgeCount
888,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
887,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,50,50,15,35,0,50,35,50,50,35,0,edgeCount
886,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
885,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
884,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
883,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
882,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
881,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
880,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,14,54,14,0,2,14,0,14,54,0,2,edgeCount
879,197,243,graphml/Cogentco.graphml,3,,clustered,0.7;-0.3,8,4,4,4,2,-1,-5,-1,-1,-5,2,edgeCount
878,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,64,64,19,45,0,64,45,64,64,45,0,edgeCount
877,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
876,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,34,28,10,24,10,12,2,12,70,2,10,edgeCount
875,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
874,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,10,-11,0,-1,-11,-1,-1,-11,0,edgeCount
873,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,12,-13,4,-1,-13,-1,-1,-13,4,edgeCount
872,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,35,35,15,20,0,35,20,35,35,20,0,edgeCount
871,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,30,30,10,20,0,30,20,30,30,20,0,edgeCount
870,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
869,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,11,-12,6,-1,-12,35,35,24,6,edgeCount
868,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,19,19,17,2,0,19,2,19,19,2,0,edgeCount
867,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
866,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
865,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,15,-16,0,-1,-16,-1,-1,-16,0,edgeCount
864,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,11,-12,2,-1,-12,-1,-1,-12,2,edgeCount
863,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
862,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,47,47,21,26,0,47,26,47,47,26,0,edgeCount
861,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
860,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,12,28,12,0,2,28,16,28,28,16,2,edgeCount
859,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
858,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,49,27,9,40,4,-1,-10,25,39,16,4,edgeCount
857,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,11,11,11,0,0,11,0,11,11,0,0,edgeCount
856,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,15,15,12,3,0,-1,-13,-1,-1,-13,0,edgeCount
855,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,31,17,10,21,2,-1,-11,32,10,22,2,edgeCount
854,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
853,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,53,53,20,33,0,-1,-21,53,53,33,0,edgeCount
852,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,27,23,23,4,2,-1,-24,27,23,4,2,edgeCount
851,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,18,84,18,0,4,18,0,18,84,0,4,edgeCount
850,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,13,-14,0,-1,-14,-1,-1,-14,0,edgeCount
849,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
848,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
847,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
846,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,17,23,17,0,4,49,32,49,63,32,4,edgeCount
845,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
844,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
843,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
842,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
841,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,18,48,11,7,0,30,19,30,30,19,0,edgeCount
840,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
839,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,24,-25,2,-1,-25,-1,-1,-25,2,edgeCount
838,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,23,81,20,3,2,63,43,23,81,3,2,edgeCount
837,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,2,2,2,0,0,2,0,2,2,0,0,edgeCount
836,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
835,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
834,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
833,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,25,25,25,0,0,25,0,25,25,0,0,edgeCount
832,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
831,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
830,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,51,51,25,26,2,51,26,51,51,26,2,edgeCount
829,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
828,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
827,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
826,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
825,197,243,graphml/Cogentco.graphml,3,,clustered,0.7;-0.3,-1,-1,13,-14,12,-1,-14,41,13,28,12,edgeCount
824,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
823,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
822,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,23,23,19,4,0,23,4,23,23,4,0,edgeCount
821,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,16,-1,0,-1,-1,0,16,edgeCount
820,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
819,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,9,-10,0,-1,-10,-1,-1,-10,0,edgeCount
818,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,25,97,16,9,2,55,39,55,71,39,2,edgeCount
817,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,19,-20,0,-1,-20,-1,-1,-20,0,edgeCount
816,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
815,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,8,16,8,0,4,8,0,8,16,0,4,edgeCount
814,197,243,graphml/Cogentco.graphml,3,,clustered,0.7;-0.3,40,52,13,27,0,94,81,94,94,81,0,edgeCount
813,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
812,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,27,27,27,0,0,27,0,27,27,0,0,edgeCount
811,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
810,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
809,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
808,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,13,13,13,0,2,13,0,13,13,0,2,edgeCount
807,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,14,-15,0,-1,-15,-1,-1,-15,0,edgeCount
806,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,20,20,20,0,0,20,0,20,20,0,0,edgeCount
805,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,12,42,12,0,2,26,14,12,42,0,2,edgeCount
804,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
803,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
802,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,16,16,16,0,0,16,0,16,16,0,0,edgeCount
801,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
