rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
864,25,56,graphml/AttMpls.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
863,25,56,graphml/AttMpls.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
862,25,56,graphml/AttMpls.graphml,5,,clustered,0.9;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
861,25,56,graphml/AttMpls.graphml,4,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
860,25,56,graphml/AttMpls.graphml,5,,clustered,0.9;-0.3,-1,-1,-1,0,14,-1,0,-1,-1,0,10,edgeCount
859,25,56,graphml/AttMpls.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
858,25,56,graphml/AttMpls.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,12,-1,0,-1,-1,0,6,edgeCount
857,25,56,graphml/AttMpls.graphml,5,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
856,25,56,graphml/AttMpls.graphml,3,,clustered,0.9;-0.3,-1,-1,-1,0,10,-1,0,-1,-1,0,4,edgeCount
855,25,56,graphml/AttMpls.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
854,25,56,graphml/AttMpls.graphml,5,,clustered,0.9;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
853,25,56,graphml/AttMpls.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
852,25,56,graphml/AttMpls.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
851,25,56,graphml/AttMpls.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,26,-1,0,-1,-1,0,16,edgeCount
850,25,56,graphml/AttMpls.graphml,7,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
849,25,56,graphml/AttMpls.graphml,5,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
